id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1300921,蓝莓,1187,水果,1211,其他类,14.0,45.0,29.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300920,火龙果,1187,水果,1211,其他类,4.5,8.0,6.25,,红,斤,2022-07-03 00:00:00,,138,,admin,,,
1300919,火龙果,1187,水果,1211,其他类,6.0,8.5,7.25,,白,斤,2022-07-03 00:00:00,,138,,admin,,,
1300918,木瓜,1187,水果,1211,其他类,3.8,4.2,4.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300917,柠檬,1187,水果,1211,其他类,4.5,5.0,4.75,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300916,山楂,1187,水果,1211,其他类,3.0,6.0,4.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300915,姑娘果（灯笼果）,1187,水果,1211,其他类,7.0,23.0,15.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300914,鸭梨,1187,水果,,梨类,3.5,3.9,3.7,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300913,雪花梨,1187,水果,,梨类,3.6,4.0,3.8,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300912,皇冠梨,1187,水果,,梨类,4.5,5.0,4.75,,纸箱,斤,2022-07-03 00:00:00,,138,,admin,,,
1300911,丰水梨,1187,水果,,梨类,4.2,4.6,4.4,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300910,酥梨,1187,水果,,梨类,2.5,3.5,3.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300909,库尔勒香梨,1187,水果,,梨类,4.2,5.2,4.7,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300908,红啤梨,1187,水果,,梨类,5.0,6.0,5.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300907,夏橙,1187,水果,,柑橘类,3.0,5.0,4.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300906,沃柑,1187,水果,,柑橘类,4.0,6.0,5.0,,贵妃柑,斤,2022-07-03 00:00:00,,138,,admin,,,
1300905,油桃,1187,水果,,桃李杏类,2.0,5.0,3.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300904,蟠桃,1187,水果,,桃李杏类,3.0,5.0,4.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300903,水蜜桃,1187,水果,,桃李杏类,6.0,12.0,9.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300902,黄油桃,1187,水果,,桃李杏类,2.5,4.0,3.25,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300901,黄毛桃,1187,水果,,桃李杏类,5.0,12.0,8.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300900,突围,1187,水果,,桃李杏类,2.0,3.6,2.8,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300899,京红,1187,水果,,桃李杏类,2.5,4.0,3.25,,,斤,2022-07-03 00:00:00,,138,,admin,,,
